lat,lon,useful_crop_percentage,useless_non_crop_percentage,State
47.93487935325868,-96.76444348595372,95.08,4.92,Minnesota
36.43487935325868,-120.26444348595372,94.07,5.93,California
35.93487935325868,-90.26444348595372,93.22,6.78,Arkansas
38.43487935325868,-100.76444348595372,92.65,7.35,Kansas
40.93487935325868,-88.26444348595373,92.45,7.55,Illinois
36.43487935325868,-119.76444348595372,91.96,8.04,California
38.93487935325868,-121.76444348595372,91.94,8.06,California
43.43487935325868,-94.26444348595372,91.93,8.07,Iowa
36.43487935325868,-89.76444348595373,91.68,8.32,Missouri
42.43487935325868,-97.26444348595372,91.26,8.74,Nebraska
39.43487935325868,-121.76444348595372,91.1,8.9,California
35.93487935325868,-119.76444348595372,91.04,8.96,California
44.43487935325868,-94.26444348595372,90.94,9.06,Minnesota
40.93487935325868,-97.76444348595372,90.61,9.39,Nebraska
48.43487935325868,-96.76444348595372,90.47,9.53,Minnesota
40.43487935325868,-89.26444348595373,90.22,9.78,Illinois
40.43487935325868,-87.76444348595373,90.04,9.96,Illinois
45.93487935325868,-96.26444348595372,89.84,10.16,Minnesota
46.93487935325868,-97.26444348595372,89.8,10.2,North Dakota
47.43487935325868,-97.26444348595372,89.68,10.32,North Dakota
39.93487935325868,-89.26444348595373,89.65,10.35,Illinois
40.43487935325868,-88.26444348595373,89.49,10.51,Illinois
37.43487935325868,-100.76444348595372,89.45,10.55,Kansas
41.93487935325868,-97.76444348595372,89.37,10.63,Nebraska
42.93487935325868,-96.26444348595372,89.32,10.68,Iowa
39.93487935325868,-88.26444348595373,89.14,10.86,Illinois
47.43487935325868,-96.76444348595372,89.13,10.87,Minnesota
42.43487935325868,-95.26444348595372,89.05,10.95,Iowa
42.93487935325868,-94.76444348595372,89.01,10.99,Iowa
33.43487935325868,-101.76444348595372,88.75,11.25,Texas
36.93487935325868,-89.76444348595373,88.6,11.4,Missouri
40.43487935325868,-85.76444348595373,88.43,11.57,Indiana
40.93487935325868,-97.26444348595372,88.38,11.62,Nebraska
40.93487935325868,-84.76444348595373,88.3,11.7,Ohio
40.93487935325868,-101.76444348595372,88.28,11.72,Nebraska
44.43487935325868,-95.26444348595372,88.26,11.74,Minnesota
42.93487935325868,-93.76444348595372,88.2,11.8,Iowa
44.93487935325868,-95.26444348595372,88.1,11.9,Minnesota
40.43487935325868,-97.76444348595372,87.86,12.14,Nebraska
41.43487935325868,-89.26444348595373,87.84,12.16,Illinois
42.93487935325868,-95.76444348595372,87.36,12.64,Iowa
42.43487935325868,-92.76444348595372,87.12,12.88,Iowa
43.43487935325868,-83.76444348595373,86.96,13.04,Michigan
39.93487935325868,-87.76444348595373,86.9,13.1,Illinois
34.43487935325868,-102.26444348595372,86.89,13.11,Texas
42.43487935325868,-94.76444348595372,86.64,13.36,Iowa
40.43487935325868,-99.26444348595372,86.56,13.44,Nebraska
38.43487935325868,-102.26444348595372,86.44,13.56,Colorado
38.43487935325868,-98.26444348595372,86.35,13.65,Kansas
39.93487935325868,-104.26444348595372,86.28,13.72,Colorado
44.93487935325868,-94.76444348595372,86.27,13.73,Minnesota
38.43487935325868,-121.76444348595372,86.21,13.79,California
33.43487935325868,-90.76444348595372,86.2,13.8,Mississippi
26.43487935325868,-97.76444348595372,85.89,14.11,Texas
48.93487935325868,-100.76444348595372,85.56,14.44,North Dakota
43.43487935325868,-95.76444348595372,85.44,14.56,Iowa
